size,acceleration,use_levels,dtype,uint16-lut,no LUT
"(256, 256)",numpy,TRUE,uint8,1.42E-04,1.14E-04
"(256, 256)",numpy,TRUE,uint16,2.45E-04,2.05E-04
"(256, 256)",numpy,TRUE,float32,2.31E-04,1.68E-04
"(256, 256)",numpy,FALSE,uint8,1.26E-04,2.81E-05
"(256, 256)",numpy,FALSE,uint16,2.38E-04,2.74E-05
"(256, 256)",numpy,FALSE,float32,NaN,NaN
"(256, 256)",numba,TRUE,uint8,1.32E-04,1.14E-04
"(256, 256)",numba,TRUE,uint16,1.70E-04,1.20E-04
"(256, 256)",numba,TRUE,float32,1.82E-04,1.23E-04
"(256, 256)",numba,FALSE,uint8,1.30E-04,NaN
"(256, 256)",numba,FALSE,uint16,1.71E-04,NaN
"(256, 256)",numba,FALSE,float32,NaN,NaN
"(256, 256)",cupy,TRUE,uint8,8.08E-04,6.99E-04
"(256, 256)",cupy,TRUE,uint16,6.64E-04,5.25E-04
"(256, 256)",cupy,TRUE,float32,8.59E-04,7.40E-04
"(256, 256)",cupy,FALSE,uint8,6.38E-04,NaN
"(256, 256)",cupy,FALSE,uint16,4.42E-04,NaN
"(256, 256)",cupy,FALSE,float32,NaN,NaN
"(512, 512)",numpy,TRUE,uint8,1.35E-04,1.14E-04
"(512, 512)",numpy,TRUE,uint16,6.24E-04,5.81E-04
"(512, 512)",numpy,TRUE,float32,5.08E-04,4.60E-04
"(512, 512)",numpy,FALSE,uint8,1.25E-04,2.78E-05
"(512, 512)",numpy,FALSE,uint16,6.17E-04,2.78E-05
"(512, 512)",numpy,FALSE,float32,NaN,NaN
"(512, 512)",numba,TRUE,uint8,1.31E-04,1.09E-04
"(512, 512)",numba,TRUE,uint16,3.36E-04,2.73E-04
"(512, 512)",numba,TRUE,float32,3.25E-04,2.53E-04
"(512, 512)",numba,FALSE,uint8,1.24E-04,NaN
"(512, 512)",numba,FALSE,uint16,3.31E-04,NaN
"(512, 512)",numba,FALSE,float32,NaN,NaN
"(512, 512)",cupy,TRUE,uint8,8.17E-04,7.70E-04
"(512, 512)",cupy,TRUE,uint16,8.55E-04,5.76E-04
"(512, 512)",cupy,TRUE,float32,8.87E-04,7.93E-04
"(512, 512)",cupy,FALSE,uint8,6.58E-04,NaN
"(512, 512)",cupy,FALSE,uint16,5.16E-04,NaN
"(512, 512)",cupy,FALSE,float32,NaN,NaN
"(1024, 1024)",numpy,TRUE,uint8,1.35E-04,1.19E-04
"(1024, 1024)",numpy,TRUE,uint16,2.45E-03,2.25E-03
"(1024, 1024)",numpy,TRUE,float32,1.88E-03,1.91E-03
"(1024, 1024)",numpy,FALSE,uint8,1.30E-04,2.72E-05
"(1024, 1024)",numpy,FALSE,uint16,2.51E-03,2.78E-05
"(1024, 1024)",numpy,FALSE,float32,NaN,NaN
"(1024, 1024)",numba,TRUE,uint8,1.38E-04,1.12E-04
"(1024, 1024)",numba,TRUE,uint16,1.25E-03,1.05E-03
"(1024, 1024)",numba,TRUE,float32,1.08E-03,9.65E-04
"(1024, 1024)",numba,FALSE,uint8,1.24E-04,NaN
"(1024, 1024)",numba,FALSE,uint16,1.17E-03,NaN
"(1024, 1024)",numba,FALSE,float32,NaN,NaN
"(1024, 1024)",cupy,TRUE,uint8,1.03E-03,9.68E-04
"(1024, 1024)",cupy,TRUE,uint16,1.13E-03,8.15E-04
"(1024, 1024)",cupy,TRUE,float32,1.13E-03,1.15E-03
"(1024, 1024)",cupy,FALSE,uint8,7.92E-04,NaN
"(1024, 1024)",cupy,FALSE,uint16,7.16E-04,NaN
"(1024, 1024)",cupy,FALSE,float32,NaN,NaN
"(2048, 2048)",numpy,TRUE,uint8,1.34E-04,1.19E-04
"(2048, 2048)",numpy,TRUE,uint16,9.04E-03,8.99E-03
"(2048, 2048)",numpy,TRUE,float32,7.71E-03,7.71E-03
"(2048, 2048)",numpy,FALSE,uint8,1.29E-04,2.72E-05
"(2048, 2048)",numpy,FALSE,uint16,9.06E-03,2.82E-05
"(2048, 2048)",numpy,FALSE,float32,NaN,NaN
"(2048, 2048)",numba,TRUE,uint8,1.30E-04,1.11E-04
"(2048, 2048)",numba,TRUE,uint16,4.00E-03,3.94E-03
"(2048, 2048)",numba,TRUE,float32,3.80E-03,3.66E-03
"(2048, 2048)",numba,FALSE,uint8,1.28E-04,NaN
"(2048, 2048)",numba,FALSE,uint16,4.03E-03,NaN
"(2048, 2048)",numba,FALSE,float32,NaN,NaN
"(2048, 2048)",cupy,TRUE,uint8,2.08E-03,2.09E-03
"(2048, 2048)",cupy,TRUE,uint16,1.77E-03,1.80E-03
"(2048, 2048)",cupy,TRUE,float32,1.99E-03,1.93E-03
"(2048, 2048)",cupy,FALSE,uint8,1.54E-03,NaN
"(2048, 2048)",cupy,FALSE,uint16,1.67E-03,NaN
"(2048, 2048)",cupy,FALSE,float32,NaN,NaN
"(3072, 3072)",numpy,TRUE,uint8,1.36E-04,1.20E-04
"(3072, 3072)",numpy,TRUE,uint16,1.99E-02,1.95E-02
"(3072, 3072)",numpy,TRUE,float32,1.78E-02,1.80E-02
"(3072, 3072)",numpy,FALSE,uint8,1.25E-04,2.71E-05
"(3072, 3072)",numpy,FALSE,uint16,2.18E-02,2.79E-05
"(3072, 3072)",numpy,FALSE,float32,NaN,NaN
"(3072, 3072)",numba,TRUE,uint8,1.31E-04,1.13E-04
"(3072, 3072)",numba,TRUE,uint16,8.79E-03,8.74E-03
"(3072, 3072)",numba,TRUE,float32,9.50E-03,9.06E-03
"(3072, 3072)",numba,FALSE,uint8,1.25E-04,NaN
"(3072, 3072)",numba,FALSE,uint16,8.65E-03,NaN
"(3072, 3072)",numba,FALSE,float32,NaN,NaN
"(3072, 3072)",cupy,TRUE,uint8,3.25E-03,3.02E-03
"(3072, 3072)",cupy,TRUE,uint16,3.42E-03,3.13E-03
"(3072, 3072)",cupy,TRUE,float32,3.54E-03,3.59E-03
"(3072, 3072)",cupy,FALSE,uint8,2.94E-03,NaN
"(3072, 3072)",cupy,FALSE,uint16,2.96E-03,NaN
"(3072, 3072)",cupy,FALSE,float32,NaN,NaN
"(4096, 4096)",numpy,TRUE,uint8,1.39E-04,1.19E-04
"(4096, 4096)",numpy,TRUE,uint16,3.55E-02,3.62E-02
"(4096, 4096)",numpy,TRUE,float32,3.22E-02,3.18E-02
"(4096, 4096)",numpy,FALSE,uint8,1.24E-04,2.70E-05
"(4096, 4096)",numpy,FALSE,uint16,3.56E-02,2.75E-05
"(4096, 4096)",numpy,FALSE,float32,NaN,NaN
"(4096, 4096)",numba,TRUE,uint8,1.27E-04,1.10E-04
"(4096, 4096)",numba,TRUE,uint16,1.52E-02,1.51E-02
"(4096, 4096)",numba,TRUE,float32,1.62E-02,1.60E-02
"(4096, 4096)",numba,FALSE,uint8,1.22E-04,NaN
"(4096, 4096)",numba,FALSE,uint16,1.53E-02,NaN
"(4096, 4096)",numba,FALSE,float32,NaN,NaN
"(4096, 4096)",cupy,TRUE,uint8,4.40E-03,4.43E-03
"(4096, 4096)",cupy,TRUE,uint16,5.75E-03,5.41E-03
"(4096, 4096)",cupy,TRUE,float32,5.65E-03,5.82E-03
"(4096, 4096)",cupy,FALSE,uint8,4.46E-03,NaN
"(4096, 4096)",cupy,FALSE,uint16,4.97E-03,NaN
"(4096, 4096)",cupy,FALSE,float32,NaN,NaN